SKU,post_status,post_title,post_content ,post_excerpt,category,regular_price,visibility,featured_image
01430,publish,7 LED Flashlight #61107,"Price: $0.65, Case  qty: 36, UPC: 643117611075<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.65,flashlights,0.65,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
3659,publish,Angel W/Flower Soap Dish,"Price: $0.29, Case  qty: 48, UPC: <br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.29,general merchandise,0.29,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
89850,publish,Bag Organizer #61209 Gg,"Price: $2.50, Case  qty: 200, UPC: 643117612096<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $2.50,general merchandise,2.50,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
92950,publish,Booster Cable 400 Amp 8/G #92950 M,"Price: $5.75, Case  qty: 8, UPC: 643117929507<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $5.75,home & auto tools->auto,5.75,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
006-3781,publish,S/D Lighting Flat/LED #Zh-87104 M,"Price: $0.65, Case  qty: 72, UPC: 643117871042<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.65,small tools & hardware->screw driver,0.65,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
100038R,publish,Assorted Handy Wipes 5pcs #30622,"Price: $0.48, Case  qty: 24, UPC: 643117306223<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.48,general merchandise,0.48,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
13-44014,publish,12Ft Booster Calbe 10G/150Mp #92933R,"Price: $2.75, Case  qty: 12, UPC: 643117929330<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $2.75,home & auto tools->auto,2.75,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
310B,publish,Glass Ash Tray,"Price: $0.25, Case  qty: 72, UPC: <br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.25,general merchandise,0.25,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
3-20015,publish,Swing Hanger 2pc 1/48 #30382 M,"Price: $0.55, Case  qty: 48, UPC: 643117303826<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.55,general merchandise,0.55,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
32LED,publish,32LED Flash Light #34932,"Price: $3.00, Case  qty: 48, UPC: 643117349329<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $3.00,flashlights,3.00,visible,http://truforge.co/wp-content/uploads/2016/02/34932.jpg
3-32808,publish,Vinvyl Gloves 100ct (L) #1552-1,"Price: $1.75, Case  qty: 10, UPC: 643117155210<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $1.75,small tools & hardware->gloves,1.75,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
